crossover_type,population_size,m,k,d,optimum,generations,evaluations,time,best_fitness,is_optimal
Uniform,100,2,5,0.8,2,1869,187000,5.001119136810303,1.15,False
Uniform,100,2,5,0.2,2,63,6401,0.1681044101715088,2,True
Uniform,100,2,5,0.8,2,2,305,0.007161617279052734,2,True
Uniform,100,2,5,0.2,2,1,218,0.004930734634399414,2,True
Uniform,100,2,5,0.8,2,1978,197900,5.000437021255493,1.2,False
Uniform,100,2,5,0.2,2,2272,227300,5.001880645751953,1.6,False
Uniform,100,2,5,0.8,2,42,4300,0.11656522750854492,1.15,False
Uniform,100,2,5,0.2,2,2204,220500,5.00092339515686,1.8,False
Uniform,100,2,5,0.8,2,2301,230200,5.001185417175293,1.15,False
Uniform,100,2,5,0.2,2,2243,224400,5.000676393508911,1.8,False
Uniform,100,2,5,0.8,2,1,239,0.004548788070678711,2,True
Uniform,100,2,5,0.2,2,0,28,0.0004956722259521484,2,True
Uniform,100,2,5,0.8,2,2125,212600,5.000509023666382,1.15,False
Uniform,20,4,5,0.2,4,16,340,0.010593414306640625,3.0000000000000004,False
Uniform,20,4,5,0.8,4,7,160,0.011399030685424805,1.4,False
Uniform,20,4,5,0.2,4,6,140,0.006077289581298828,2.4000000000000004,False
Uniform,20,4,5,0.8,4,7,160,0.012929439544677734,1.4,False
Uniform,20,4,5,0.2,4,10,220,0.010123014450073242,2.6,False
Uniform,20,4,5,0.8,4,7,160,0.006879329681396484,1.4,False
Uniform,20,4,5,0.2,4,11,240,0.01629924774169922,3.0,False
Uniform,20,4,5,0.8,4,23,480,0.022674083709716797,1.3499999999999999,False
Uniform,20,4,5,0.2,4,6,140,0.010756492614746094,2.4000000000000004,False
Uniform,20,4,5,0.8,4,15,320,0.0162656307220459,1.45,False
Uniform,20,4,5,0.2,4,7,160,0.010076284408569336,2.6,False
Uniform,20,4,5,0.8,4,11,240,0.015491962432861328,2.2,False
Uniform,20,4,5,0.2,4,11,240,0.014176130294799805,2.6,False
Uniform,20,4,5,0.8,4,14,300,0.016631126403808594,1.35,False
Uniform,20,4,5,0.2,4,20,420,0.019148588180541992,2.4,False
Uniform,20,4,5,0.8,4,20,420,0.01941370964050293,2.2,False
Uniform,20,4,5,0.2,4,10,220,0.00857400894165039,2.4000000000000004,False
Uniform,20,4,5,0.8,4,8,180,0.008841276168823242,1.45,False
Uniform,20,4,5,0.2,4,19,400,0.01997542381286621,3.0000000000000004,False
Uniform,20,4,5,0.8,4,10,220,0.009523153305053711,1.4499999999999997,False
Uniform,40,4,5,0.2,4,115,4640,0.19315123558044434,2.6,False
Uniform,40,4,5,0.8,4,14,600,0.03749561309814453,1.4,False
Uniform,40,4,5,0.2,4,130,5240,0.3079230785369873,2.8,False
Uniform,40,4,5,0.8,4,88,3560,0.2202739715576172,1.35,False
Uniform,40,4,5,0.2,4,54,2200,0.13712334632873535,2.8000000000000003,False
Uniform,40,4,5,0.8,4,43,1760,0.08288836479187012,1.45,False
Uniform,40,4,5,0.2,4,70,2840,0.12512898445129395,2.8000000000000003,False
Uniform,40,4,5,0.8,4,72,2920,0.1110832691192627,2.15,False
Uniform,40,4,5,0.2,4,31,1280,0.05265545845031738,2.8,False
Uniform,40,4,5,0.8,4,84,3400,0.1289067268371582,1.4999999999999998,False
Uniform,40,4,5,0.2,4,92,3720,0.15590810775756836,3.0000000000000004,False
Uniform,40,4,5,0.8,4,44,1800,0.08696746826171875,1.35,False
Uniform,40,4,5,0.2,4,18,760,0.036067962646484375,2.6,False
Uniform,40,4,5,0.8,4,48,1960,0.09009671211242676,2.3,False
Uniform,40,4,5,0.2,4,20,840,0.043057918548583984,3.0000000000000004,False
Uniform,40,4,5,0.8,4,31,1280,0.08266496658325195,1.4999999999999998,False
Uniform,40,4,5,0.2,4,23,960,0.039682865142822266,2.8000000000000003,False
Uniform,40,4,5,0.8,4,39,1600,0.0663764476776123,1.4499999999999997,False
Uniform,40,4,5,0.2,4,46,1880,0.09423041343688965,2.8000000000000003,False
Uniform,40,4,5,0.8,4,144,5800,0.20533323287963867,2.15,False
Uniform,60,4,5,0.2,4,791,47520,1.7036535739898682,3.6,False
Uniform,60,4,5,0.8,4,16,1020,0.051030874252319336,1.4,False
Uniform,60,4,5,0.2,4,292,17580,0.5819146633148193,3.0,False
Uniform,60,4,5,0.8,4,12,780,0.03807640075683594,2.3000000000000003,False
Uniform,60,4,5,0.2,4,702,42180,1.4502873420715332,3.0,False
Uniform,60,4,5,0.8,4,390,23460,0.7657439708709717,2.1999999999999997,False
Uniform,60,4,5,0.2,4,208,12540,0.40946507453918457,2.8000000000000003,False
Uniform,60,4,5,0.8,4,488,29340,1.2784628868103027,2.2,False
Uniform,60,4,5,0.2,4,669,40200,1.43540620803833,2.8,False
Uniform,60,4,5,0.8,4,388,23340,0.8907291889190674,2.15,False
Uniform,60,4,5,0.2,4,1063,63840,2.221266269683838,3.0,False
Uniform,60,4,5,0.8,4,163,9840,0.3449718952178955,2.1999999999999997,False
Uniform,60,4,5,0.2,4,778,46740,1.6567537784576416,2.8000000000000003,False
Uniform,60,4,5,0.8,4,95,5760,0.21855592727661133,2.2,False
Uniform,60,4,5,0.2,4,292,17580,0.6327283382415771,2.8000000000000003,False
Uniform,60,4,5,0.8,4,114,6900,0.28161025047302246,1.4,False
Uniform,60,4,5,0.2,4,497,29880,1.0434908866882324,2.6,False
Uniform,60,4,5,0.8,4,1176,70620,2.4424796104431152,1.4,False
Uniform,60,4,5,0.2,4,1225,73560,2.558152675628662,2.4000000000000004,False
Uniform,60,4,5,0.8,4,678,40740,1.4491374492645264,2.1,False
Uniform,80,4,5,0.2,4,2795,223680,6.888820171356201,2.8000000000000003,False
Uniform,80,4,5,0.8,4,785,62880,2.1918764114379883,1.4499999999999997,False
Uniform,80,4,5,0.2,4,792,63440,2.2160820960998535,2.8,False
Uniform,80,4,5,0.8,4,1024,82000,2.8313651084899902,2.2,False
Uniform,80,4,5,0.2,4,2751,220160,7.529138565063477,3.0,False
Uniform,80,4,5,0.8,4,183,14720,0.48186278343200684,2.2,False
Uniform,80,4,5,0.2,4,1538,123120,4.303284645080566,2.8000000000000003,False
Uniform,80,4,5,0.8,4,1608,128720,4.465725898742676,1.4,False
Uniform,80,4,5,0.2,4,3578,286320,10.00018835067749,3.0,False
Uniform,80,4,5,0.8,4,3594,287600,10.002196550369263,1.45,False
Uniform,80,4,5,0.2,4,898,71920,2.697157621383667,3.0,False
Uniform,80,4,5,0.8,4,3202,256240,8.927070617675781,2.2,False
Uniform,80,4,5,0.2,4,925,74080,2.5515801906585693,2.8000000000000003,False
Uniform,80,4,5,0.8,4,535,42880,1.4995925426483154,1.4999999999999998,False
Uniform,80,4,5,0.2,4,3613,289120,10.00019907951355,2.8,False
Uniform,80,4,5,0.8,4,2557,204640,10.001237154006958,2.15,False
Uniform,80,4,5,0.2,4,24,2000,0.06319379806518555,2.8000000000000003,False
Uniform,80,4,5,0.8,4,2415,193280,10.000496625900269,2.1,False
Uniform,80,4,5,0.2,4,3007,240640,10.000154733657837,2.8000000000000003,False
